show;number;title;duration;date;year;month;weekday;host;guest;category;topic;summary;network
A Complicated Profession;106;We Don't Talk About Jabba, No No;01:11:29;2025-09-26;2025;September;Friday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;The Mandalorian and Grogu Teaser Trailer;You thought they could release a trailer for a new Star Wars movie and there wouldn’t be a podcast about it? Think again! Your Star Wars pals Dan, Tony, and Kat are back to talk about the teaser for the upcoming feature The Mandalorian and Grogu, including swole Hutts, Babu Friks (Babus Frik?), and whether this can be any good.;The Incomparable
A Complicated Profession;105;I'm Not So Sure About All This Princess Business;01:03:10;2025-07-14;2025;July;Monday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;The Hidden Fortress;How much of a fortress can you really hide? Your Star Wars pals Dan, Kat, and Tony return to discuss Akira Kurosawa’s 1958 epic, The Hidden Fortress, a film which had a significant influence on George Lucas’s work. We discuss rich people buying the horse out from under you, the unquestionably most successful Fire Festival, and who exactly the three villains are. ;The Incomparable
A Complicated Profession;104;Backstory of a Hat;01:04:40;2025-06-16;2025;June;Monday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;Star Wars: Tales of the Underworld;In a new annual tradition, we’ve gotten six short episodes of Star Wars animation following two characters. This time it’s Tales of the Underworld. Your Star Wars pals Dan, Tony, and Kat return to discuss three pretty good episodes and three not-so-good episodes, including what makes bad guys compelling, uncertain timelines, and de-canonized/re-canonized characters.;The Incomparable
A Complicated Profession;103;You Know Who Else is Famously a Hologram;01:08:46;2025-06-01;2025;June;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;Rogue One;Rebellions are built on two seasons of a prequel series. Your Star Wars pals Dan, Kat, and Tony return to revisit 2016’s Rogue One: A Star Wars Story or, as we call, it Andor: The TV Movie. We discuss Krennic’s very bad week, why Cassian’s arc gets a little tricky, and the inevitable Saw Gerrera supercut.;The Incomparable
A Complicated Profession;102;Chek(h)ov's Hospital;01:46:28;2025-05-17;2025;May;Saturday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;Andor, Season 2, Episodes 10-12;This is it: the end of the road. Andor comes to a close, and your Star Wars pals Dan, Tony, and Kat are here to cover the final episodes and discuss how we really feel about ziggurats, whether #KatWasRight, and what exactly Star Trek IV is remembered for. ;The Incomparable
A Complicated Profession;101;I Have Questions About Biggs Darklighter Now;01:20:02;2025-05-11;2025;May;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;Andor, Season 2, Episodes 7-9;Welcome to the Rebellion! Your Star Wars pals Dan, Kat, and Tony reconvene to discuss the latest three episodes of Andor, including Syril’s parasocial relationship with Cassian, the changing narrative of the rebels, and women being replaced by droids. Next year in Yavin!;The Incomparable
A Complicated Profession;100;Spider-Based Economy;01:27:56;2025-05-03;2025;May;Saturday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;Andor, Season 2, Episodes 4-6;A rebellion is afoot! Your Star Wars pals Dan, Tony, and Kat return to discuss this second triptych of Andor season 2, including revenge as therapy, the tension of talking about art, and the importance of cake—especially because it’s our 100th episode!;The Incomparable
A Complicated Profession;99;The Most Awkward Fondue Ever;01:24:01;2025-04-27;2025;April;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;Andor, Season 2, Episodes 1-3;Time for a wedding and…murder?! Your Star Wars pals Dan, Kat, and Tony are back to cover the first chapter of season 2 of Andor, including important questions like: Should wedding hikes come back in fashion? How do you choose between two identical white outfits? And why are we watching a 1950s PSA about spiders? ;The Incomparable
A Complicated Profession;98;Atomic Shakespeare;00:57:37;2025-03-06;2025;March;Thursday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;A long time ago—roughly 1986—in an Italian city far, far away… Your Star Wars pals Dan, Kat, and Tony return to, at long last, discuss a classic episode of TV including levels of context, Star Trek cameos, and what exactly is going on. We also tease our forthcoming member-exclusive bonus episode! ;The Incomparable
A Complicated Profession;97;"Skeleton Crew S1E8: ""The Real Good Guys""";01:16:23;2025-01-16;2025;January;Thursday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;I would have gotten away with it too, if it weren’t for you meddling kids! Your Star Wars pals Dan, Kat, and Tony are back to discuss the finale of Skeleton Crew, including collateral damage, surprising non-reveals, and pirates who need day jobs. Want more ACP before we return to discuss Andor Season 2 in April? Sign up to be a member of The Incomparable for special bonus content from your Star Wars pals!;The Incomparable
A Complicated Profession;96;"Skeleton Crew S1E7: ""We're Gonna Be in So Much Trouble""";01:16:05;2025-01-12;2025;January;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Back through the barrier we go! Your Star Wars pals Dan, Tony, and Kat are back to discuss the latest episode of Skeleton Crew including Jude Law’s finest acting, THE CLAW, and the Vane Extended Universe. ;The Incomparable
A Complicated Profession;95;"Skeleton Crew S1E6: ""Zero Friends Again""";01:01:26;2025-01-05;2025;January;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Trash crabs, unite! Your Star Wars pals Dan, Kat, and Tony return to discuss the latest episode of Skeleton Crew, including why you should press the button that you should never press, con man speeches, and how much of a language Huttese really is.;The Incomparable
A Complicated Profession;94;"Skeleton Crew S1E5: ""You Have a Lot to Learn About Pirates""";00:46:38;2024-12-30;2024;December;Monday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;What pirate doesn’t love a relaxing day at the spa? Your Star Wars pals Dan, Tony, and Kat return to discuss the latest episode of Skeleton Crew, including talking like a pirate, unnecessarily expensive traps, and what exactly is a concubine?;The Incomparable
A Complicated Profession;93;"Skeleton Crew S1E4: ""Can't Say I Remember No At Attin""";00:53:29;2024-12-22;2024;December;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;It’s a mysterious planet, but not the mysterious planet you’re looking for. Your Star Wars pals Dan, Kat, and Tony are back to discuss the latest episode of Skeleton Crew, including cons not seen, unnecessary parkour (all parkour), and the challenges of child-friendly entertainment mixed with the horrors of war.;The Incomparable
A Complicated Profession;92;"Skeleton Crew S1E3: ""Very Interesting, as an Astrogation Problem""";00:44:50;2024-12-16;2024;December;Monday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;Ahoy, mateys! Your Star Wars pals Dan, Tony, and Kat are back to discuss the latest episode of Skeleton Crew, including kids who are no dummies, adorable space owls, and what reference sources to trust with your word definitions.;The Incomparable
A Complicated Profession;91;"Skeleton Crew S1E1-2: ""This Could Be a Real Adventure"" / ""Way, Way Out Past the Barrier""";01:02:39;2024-12-08;2024;December;Sunday;"Dan Moren;Tony Sindelar;Kat Benesh";NA;NA;NA;It’s a new Star Wars show, but your same old Star Wars pals. Dan, Kat, and Tony discuss the first two episodes of Skeleton Crew, including whether At Attin is a utopia or dystopia, how piratey your pirates should be, and the important issues of public transportation.;The Incomparable
